       fs     200K     300K    400K     500K
   12200 0.06975 0.12555 0.27464 0.75046
   12250 0.06978 0.12562 0.27486 0.75119
   12300 0.06981 0.12569 0.27509 0.75191
   12350 0.06984 0.12576 0.27532 0.75264
   12400 0.06987 0.12583 0.27554 0.75337
   12450  0.0699  0.1259 0.27577  0.7541
   12500 0.06993 0.12597   0.276 0.75482
   12550 0.06996 0.12604 0.27622 0.75555
   12600 0.06999 0.12611 0.27645 0.75627
   12650 0.07002 0.12618 0.27668   0.757
   12700 0.07004 0.12625  0.2769 0.75772
   12750 0.07007 0.12631 0.27713 0.75845
   12800  0.0701 0.12638 0.27735 0.75917
   12850 0.07013 0.12645 0.27758 0.75989
   12900 0.07016 0.12652  0.2778 0.76061
   12950 0.07019 0.12659 0.27803 0.76133
   13000 0.07022 0.12666 0.27825 0.76205
   13050 0.07025 0.12673 0.27848 0.76277
   13100 0.07028 0.12679  0.2787 0.76349
   13150 0.07031 0.12686 0.27893 0.76421
   13200 0.07034 0.12693 0.27915 0.76493
   13250 0.07037   0.127 0.27938 0.76565
   13300  0.0704 0.12707  0.2796 0.76636
   13350 0.07043 0.12713 0.27983 0.76708
   13400 0.07046  0.1272 0.28005  0.7678
   13450 0.07049 0.12727 0.28027 0.76851
   13500 0.07052 0.12734  0.2805 0.76923
   13550 0.07055 0.12741 0.28072 0.76994
   13600 0.07058 0.12747 0.28095 0.77065
   13650 0.07061 0.12754 0.28117 0.77137
   13700 0.07064 0.12761 0.28139 0.77208
   13750 0.07067 0.12768 0.28161 0.77279
   13800  0.0707 0.12774 0.28184  0.7735
   13850 0.07073 0.12781 0.28206 0.77421
   13900 0.07076 0.12788 0.28228 0.77492
   13950 0.07079 0.12794 0.28251 0.77563
   14000 0.07082 0.12801 0.28273 0.77634
   14050 0.07085 0.12808 0.28295 0.77705
   14100 0.07088 0.12814 0.28317 0.77775
   14150 0.07091 0.12821 0.28339 0.77846
   14200 0.07094 0.12828 0.28362 0.77917
   14250 0.07097 0.12834 0.28384 0.77987
   14300 0.07099 0.12841 0.28406 0.78058
   14350 0.07102 0.12848 0.28428 0.78128
   14400 0.07105 0.12854  0.2845 0.78199
   14450 0.07108 0.12861 0.28472 0.78269
   14500 0.07111 0.12867 0.28494 0.78339
   14550 0.07114 0.12874 0.28517 0.78409
   14600 0.07117 0.12881 0.28539  0.7848
   14650  0.0712 0.12887 0.28561  0.7855
   14700 0.07123 0.12894 0.28583  0.7862
   14750 0.07126   0.129 0.28605  0.7869
   14800 0.07129 0.12907 0.28627  0.7876
   14850 0.07132 0.12913 0.28649 0.78829
   14900 0.07135  0.1292 0.28671 0.78899
   14950 0.07138 0.12927 0.28693 0.78969
   15000 0.07141 0.12933 0.28715 0.79039
   15050 0.07144  0.1294 0.28737 0.79108
   15100 0.07146 0.12946 0.28759 0.79178
   15150 0.07149 0.12953  0.2878 0.79247
   15200 0.07152 0.12959 0.28802 0.79317
   15250 0.07155 0.12966 0.28824 0.79386
   15300 0.07158 0.12972 0.28846 0.79455
   15350 0.07161 0.12978 0.28868 0.79525
   15400 0.07164 0.12985  0.2889 0.79594
   15450 0.07167 0.12991 0.28912 0.79663
   15500  0.0717 0.12998 0.28934 0.79732
   15550 0.07173 0.13004 0.28955 0.79801
   15600 0.07176 0.13011 0.28977  0.7987
   15650 0.07179 0.13017 0.28999 0.79939
   15700 0.07182 0.13023 0.29021 0.80008
   15750 0.07184  0.1303 0.29042 0.80076
   15800 0.07187 0.13036 0.29064 0.80145
   15850  0.0719 0.13043 0.29086 0.80214
   15900 0.07193 0.13049 0.29108 0.80282
   15950 0.07196 0.13055 0.29129 0.80351
   16000 0.07199 0.13062 0.29151 0.80419
   16050 0.07202 0.13068 0.29173 0.80488
   16100 0.07205 0.13074 0.29194 0.80556
   16150 0.07208 0.13081 0.29216 0.80625
   16200 0.07211 0.13087 0.29238 0.80693
   16250 0.07213 0.13093 0.29259 0.80761
   16300 0.07216   0.131 0.29281 0.80829
   16350 0.07219 0.13106 0.29302 0.80897
   16400 0.07222 0.13112 0.29324 0.80965
   16450 0.07225 0.13118 0.29346 0.81033
   16500 0.07228 0.13125 0.29367 0.81101
   16550 0.07231 0.13131 0.29389 0.81169
   16600 0.07234 0.13137  0.2941 0.81237
   16650 0.07237 0.13143 0.29432 0.81304
   16700  0.0724  0.1315 0.29453 0.81372
   16750 0.07242 0.13156 0.29475  0.8144
   16800 0.07245 0.13162 0.29496 0.81507
   16850 0.07248 0.13168 0.29518 0.81575
   16900 0.07251 0.13175 0.29539 0.81642
   16950 0.07254 0.13181  0.2956 0.81709
   17000 0.07257 0.13187 0.29582 0.81777
   17050  0.0726 0.13193 0.29603 0.81844
   17100 0.07263 0.13199 0.29625 0.81911
   17150 0.07265 0.13205 0.29646 0.81978
   17200 0.07268 0.13212 0.29667 0.82045
   17250 0.07271 0.13218 0.29689 0.82112
   17300 0.07274 0.13224  0.2971 0.82179
   17350 0.07277  0.1323 0.29731 0.82246
   17400  0.0728 0.13236 0.29753 0.82313
   17450 0.07283 0.13242 0.29774  0.8238
   17500 0.07286 0.13248 0.29795 0.82446
   17550 0.07288 0.13254 0.29816 0.82513
   17600 0.07291 0.13261 0.29838  0.8258
   17650 0.07294 0.13267 0.29859 0.82646
   17700 0.07297 0.13273  0.2988 0.82713
   17750   0.073 0.13279 0.29901 0.82779
   17800 0.07303 0.13285 0.29923 0.82845
   17850 0.07306 0.13291 0.29944 0.82912
   17900 0.07308 0.13297 0.29965 0.82978
   17950 0.07311 0.13303 0.29986 0.83044
   18000 0.07314 0.13309 0.30007  0.8311
   18050 0.07317 0.13315 0.30028 0.83176
   18100  0.0732 0.13321 0.30049 0.83242
   18150 0.07323 0.13327 0.30071 0.83308
   18200 0.07326 0.13333 0.30092 0.83374
   18250 0.07328 0.13339 0.30113  0.8344
   18300 0.07331 0.13345 0.30134 0.83505
   18350 0.07334 0.13351 0.30155 0.83571
   18400 0.07337 0.13357 0.30176 0.83637
   18450  0.0734 0.13363 0.30197 0.83702
   18500 0.07343 0.13369 0.30218 0.83768
   18550 0.07346 0.13375 0.30239 0.83833
   18600 0.07348  0.1338  0.3026 0.83899
   18650 0.07351 0.13386 0.30281 0.83964
   18700 0.07354 0.13392 0.30302 0.84029
   18750 0.07357 0.13398 0.30323 0.84094
   18800  0.0736 0.13404 0.30344  0.8416
   18850 0.07363  0.1341 0.30364 0.84225
   18900 0.07365 0.13416 0.30385  0.8429
   18950 0.07368 0.13422 0.30406 0.84355
   19000 0.07371 0.13428 0.30427  0.8442
   19050 0.07374 0.13433 0.30448 0.84485
   19100 0.07377 0.13439 0.30469 0.84549
   19150  0.0738 0.13445  0.3049 0.84614
   19200 0.07382 0.13451  0.3051 0.84679
   19250 0.07385 0.13457 0.30531 0.84743
   19300 0.07388 0.13462 0.30552 0.84808
   19350 0.07391 0.13468 0.30573 0.84872
   19400 0.07394 0.13474 0.30593 0.84937
   19450 0.07396  0.1348 0.30614 0.85001
   19500 0.07399 0.13486 0.30635 0.85066
   19550 0.07402 0.13491 0.30656  0.8513
   19600 0.07405 0.13497 0.30676 0.85194
   19650 0.07408 0.13503 0.30697 0.85258
   19700 0.07411 0.13509 0.30718 0.85322
   19750 0.07413 0.13514 0.30738 0.85386
   19800 0.07416  0.1352 0.30759  0.8545
   19850 0.07419 0.13526  0.3078 0.85514
   19900 0.07422 0.13531   0.308 0.85578
   19950 0.07425 0.13537 0.30821 0.85642
   20000 0.07427 0.13543 0.30841 0.85706
   20050  0.0743 0.13548 0.30862 0.85769
   20100 0.07433 0.13554 0.30883 0.85833
   20150 0.07436  0.1356 0.30903 0.85896
   20200 0.07439 0.13565 0.30924  0.8596
   20250 0.07441 0.13571 0.30944 0.86023
   20300 0.07444 0.13577 0.30965 0.86087
   20350 0.07447 0.13582 0.30985  0.8615
   20400  0.0745 0.13588 0.31006 0.86213
   20450 0.07453 0.13594 0.31026 0.86276
   20500 0.07455 0.13599 0.31047  0.8634
