fs      200K    300K    400K    500K
11400   0.0487  0.09356 0.15155 0.22753
11450   0.0487  0.09359 0.15158 0.22749
11500   0.0487  0.09361 0.1516  0.22745
11550   0.0487  0.09363 0.15163 0.22741
11600   0.0487  0.09366 0.15165 0.22737
11650   0.0487  0.09368 0.15168 0.22733
11700   0.0487  0.09371 0.15171 0.22729
11750   0.0487  0.09373 0.15173 0.22726
11800   0.0487  0.09375 0.15176 0.22722
11850   0.0487  0.09378 0.15178 0.22718
11900   0.0487  0.0938  0.15181 0.22714
11950   0.0487  0.09382 0.15184 0.2271
12000   0.0487  0.09385 0.15186 0.22707
12050   0.0487  0.09387 0.15189 0.22703
12100   0.0487  0.0939  0.15191 0.22699
12150   0.0487  0.09392 0.15194 0.22695
12200   0.0487  0.09394 0.15197 0.22692
12250   0.0487  0.09397 0.15199 0.22688
12300   0.04871 0.09399 0.15202 0.22684
12350   0.04871 0.09402 0.15204 0.2268
12400   0.04871 0.09404 0.15207 0.22677
12450   0.04871 0.09406 0.15209 0.22673
12500   0.04871 0.09409 0.15212 0.2267
12550   0.04871 0.09411 0.15214 0.22666
12600   0.04871 0.09414 0.15217 0.22662
12650   0.04871 0.09416 0.1522  0.22659
12700   0.04871 0.09418 0.15222 0.22655
12750   0.04871 0.09421 0.15225 0.22652
12800   0.04871 0.09423 0.15227 0.22648
12850   0.04871 0.09425 0.1523  0.22645
12900   0.04872 0.09428 0.15232 0.22641
12950   0.04872 0.0943  0.15235 0.22638
13000   0.04872 0.09433 0.15237 0.22634
13050   0.04872 0.09435 0.1524  0.22631
13100   0.04872 0.09437 0.15242 0.22627
13150   0.04872 0.0944  0.15245 0.22624
13200   0.04872 0.09442 0.15247 0.2262
13250   0.04872 0.09445 0.1525  0.22617
13300   0.04872 0.09447 0.15252 0.22614
13350   0.04872 0.09449 0.15255 0.2261
13400   0.04873 0.09452 0.15257 0.22607
13450   0.04873 0.09454 0.15259 0.22604
13500   0.04873 0.09456 0.15262 0.226
13550   0.04873 0.09459 0.15264 0.22597
13600   0.04873 0.09461 0.15267 0.22594
13650   0.04873 0.09464 0.15269 0.2259
13700   0.04873 0.09466 0.15272 0.22587
13750   0.04873 0.09468 0.15274 0.22584
13800   0.04873 0.09471 0.15277 0.22581
13850   0.04874 0.09473 0.15279 0.22578
13900   0.04874 0.09476 0.15281 0.22574
13950   0.04874 0.09478 0.15284 0.22571
