fs        200K    300K    400K    500K
22000   0.04082 0.07087 0.09118 0.15111
22050   0.04082 0.0709  0.09119 0.15116
22100   0.04083 0.07092 0.09121 0.15121
22150   0.04083 0.07094 0.09123 0.15126
22200   0.04084 0.07097 0.09124 0.15131
22250   0.04085 0.07099 0.09126 0.15136
22300   0.04085 0.07102 0.09128 0.15141
22350   0.04086 0.07104 0.09129 0.15146
22400   0.04086 0.07106 0.09131 0.15151
22450   0.04087 0.07109 0.09132 0.15156
22500   0.04088 0.07111 0.09134 0.15161
22550   0.04088 0.07114 0.09136 0.15166
22600   0.04089 0.07116 0.09137 0.15171
22650   0.04089 0.07118 0.09139 0.15176
22700   0.0409  0.07121 0.09141 0.15181
22750   0.0409  0.07123 0.09142 0.15186
22800   0.04091 0.07125 0.09144 0.15192
22850   0.04092 0.07128 0.09146 0.15197
22900   0.04092 0.0713  0.09147 0.15202
22950   0.04093 0.07132 0.09149 0.15207
23000   0.04093 0.07135 0.09151 0.15212
23050   0.04094 0.07137 0.09152 0.15217
23100   0.04095 0.07139 0.09154 0.15222
23150   0.04095 0.07142 0.09156 0.15227
23200   0.04096 0.07144 0.09157 0.15232
23250   0.04096 0.07146 0.09159 0.15238
23300   0.04097 0.07149 0.09161 0.15243
23350   0.04097 0.07151 0.09162 0.15248
23400   0.04098 0.07153 0.09164 0.15253
23450   0.04099 0.07156 0.09166 0.15258
23500   0.04099 0.07158 0.09167 0.15263
23550   0.041   0.0716  0.09169 0.15268
23600   0.041   0.07163 0.09171 0.15274
23650   0.04101 0.07165 0.09172 0.15279
23700   0.04102 0.07167 0.09174 0.15284
23750   0.04102 0.07169 0.09176 0.15289
23800   0.04103 0.07172 0.09177 0.15294
23850   0.04103 0.07174 0.09179 0.153
23900   0.04104 0.07176 0.09181 0.15305
23950   0.04104 0.07178 0.09182 0.1531
24000   0.04105 0.07181 0.09184 0.15315
24050   0.04106 0.07183 0.09186 0.1532
24100   0.04106 0.07185 0.09188 0.15326
24150   0.04107 0.07187 0.09189 0.15331
24200   0.04107 0.0719  0.09191 0.15336
24250   0.04108 0.07192 0.09193 0.15341
24300   0.04109 0.07194 0.09194 0.15346
24350   0.04109 0.07196 0.09196 0.15352
24400   0.0411  0.07199 0.09198 0.15357
24450   0.0411  0.07201 0.09199 0.15362
24500   0.04111 0.07203 0.09201 0.15367
24550   0.04112 0.07205 0.09203 0.15373
24600   0.04112 0.07207 0.09205 0.15378
24650   0.04113 0.0721  0.09206 0.15383
24700   0.04113 0.07212 0.09208 0.15388
24750   0.04114 0.07214 0.0921  0.15394
24800   0.04114 0.07216 0.09211 0.15399
24850   0.04115 0.07218 0.09213 0.15404
24900   0.04116 0.07221 0.09215 0.15409
24950   0.04116 0.07223 0.09216 0.15415
25000   0.04117 0.07225 0.09218 0.1542
25050   0.04117 0.07227 0.0922  0.15425
25100   0.04118 0.07229 0.09222 0.15431
25150   0.04119 0.07231 0.09223 0.15436
25200   0.04119 0.07234 0.09225 0.15441
25250   0.0412  0.07236 0.09227 0.15447
25300   0.0412  0.07238 0.09229 0.15452
25350   0.04121 0.0724  0.0923  0.15457
25400   0.04122 0.07242 0.09232 0.15462
25450   0.04122 0.07244 0.09234 0.15468
25500   0.04123 0.07246 0.09235 0.15473
25550   0.04123 0.07249 0.09237 0.15478
25600   0.04124 0.07251 0.09239 0.15484
25650   0.04124 0.07253 0.09241 0.15489
25700   0.04125 0.07255 0.09242 0.15494
25750   0.04126 0.07257 0.09244 0.155
25800   0.04126 0.07259 0.09246 0.15505
25850   0.04127 0.07261 0.09248 0.15511
25900   0.04127 0.07263 0.09249 0.15516
25950   0.04128 0.07265 0.09251 0.15521
26000   0.04129 0.07267 0.09253 0.15527
26050   0.04129 0.07269 0.09255 0.15532
26100   0.0413  0.07272 0.09256 0.15537
26150   0.0413  0.07274 0.09258 0.15543
26200   0.04131 0.07276 0.0926  0.15548
26250   0.04132 0.07278 0.09262 0.15554
26300   0.04132 0.0728  0.09263 0.15559
26350   0.04133 0.07282 0.09265 0.15564
26400   0.04133 0.07284 0.09267 0.1557
26450   0.04134 0.07286 0.09269 0.15575
26500   0.04135 0.07288 0.0927  0.15581
26550   0.04135 0.0729  0.09272 0.15586
26600   0.04136 0.07292 0.09274 0.15591
26650   0.04136 0.07294 0.09276 0.15597
26700   0.04137 0.07296 0.09277 0.15602
26750   0.04138 0.07298 0.09279 0.15608
26800   0.04138 0.073   0.09281 0.15613
26850   0.04139 0.07302 0.09283 0.15619
26900   0.04139 0.07304 0.09284 0.15624
26950   0.0414  0.07306 0.09286 0.1563
27000   0.0414  0.07308 0.09288 0.15635
27050   0.04141 0.0731  0.0929  0.1564
27100   0.04142 0.07312 0.09291 0.15646
27150   0.04142 0.07314 0.09293 0.15651
27200   0.04143 0.07316 0.09295 0.15657
27250   0.04143 0.07318 0.09297 0.15662
27300   0.04144 0.0732  0.09299 0.15668
27350   0.04145 0.07322 0.093   0.15673
27400   0.04145 0.07324 0.09302 0.15679
27450   0.04146 0.07326 0.09304 0.15684
27500   0.04146 0.07328 0.09306 0.1569
27550   0.04147 0.0733  0.09307 0.15695
