fs      200K    300K    400K    500K
10350   0.03746 0.05384 0.07645 0.10394
10400   0.03747 0.05385 0.0765  0.10398
10450   0.03747 0.05386 0.07656 0.10402
10500   0.03747 0.05387 0.07661 0.10406
10550   0.03747 0.05388 0.07667 0.1041
10600   0.03747 0.05389 0.07672 0.10414
10650   0.03747 0.0539  0.07677 0.10418
10700   0.03747 0.05391 0.07683 0.10422
10750   0.03747 0.05392 0.07688 0.10426
10800   0.03747 0.05393 0.07694 0.1043
10850   0.03747 0.05394 0.07699 0.10434
10900   0.03748 0.05394 0.07704 0.10438
10950   0.03748 0.05395 0.0771  0.10443
11000   0.03748 0.05396 0.07715 0.10447
11050   0.03748 0.05397 0.07721 0.10451
11100   0.03748 0.05398 0.07726 0.10455
11150   0.03748 0.05399 0.07731 0.10459
11200   0.03748 0.054   0.07737 0.10463
11250   0.03748 0.05401 0.07742 0.10467
11300   0.03748 0.05402 0.07747 0.10471
11350   0.03748 0.05403 0.07753 0.10475
11400   0.03749 0.05404 0.07758 0.10479
11450   0.03749 0.05405 0.07763 0.10483
11500   0.03749 0.05406 0.07769 0.10487
11550   0.03749 0.05407 0.07774 0.10491
11600   0.03749 0.05408 0.07779 0.10495
11650   0.03749 0.05409 0.07785 0.10499
11700   0.03749 0.0541  0.0779  0.10503
11750   0.03749 0.05411 0.07795 0.10507
11800   0.03749 0.05412 0.078   0.10511
11850   0.03749 0.05413 0.07806 0.10515
11900   0.0375  0.05414 0.07811 0.10519
11950   0.0375  0.05415 0.07816 0.10523
12000   0.0375  0.05416 0.07822 0.10528
12050   0.0375  0.05417 0.07827 0.10532
12100   0.0375  0.05418 0.07832 0.10536
12150   0.0375  0.05418 0.07837 0.1054
12200   0.0375  0.05419 0.07843 0.10544
12250   0.0375  0.0542  0.07848 0.10548
12300   0.0375  0.05421 0.07853 0.10552
12350   0.0375  0.05422 0.07858 0.10556
12400   0.03751 0.05423 0.07863 0.1056
12450   0.03751 0.05424 0.07869 0.10564
12500   0.03751 0.05425 0.07874 0.10568
12550   0.03751 0.05426 0.07879 0.10572
12600   0.03751 0.05427 0.07884 0.10576
12650   0.03751 0.05428 0.07889 0.1058
12700   0.03751 0.05429 0.07895 0.10585
12750   0.03751 0.0543  0.079   0.10589
12800   0.03751 0.05431 0.07905 0.10593
12850   0.03751 0.05432 0.0791  0.10597
12900   0.03752 0.05433 0.07915 0.10601
12950   0.03752 0.05434 0.0792  0.10605
13000   0.03752 0.05435 0.07926 0.10609
13050   0.03752 0.05436 0.07931 0.10613
13100   0.03752 0.05436 0.07936 0.10617
13150   0.03752 0.05437 0.07941 0.10621
13200   0.03752 0.05438 0.07946 0.10625
13250   0.03752 0.05439 0.07951 0.10629
13300   0.03752 0.0544  0.07956 0.10634
13350   0.03753 0.05441 0.07962 0.10638
13400   0.03753 0.05442 0.07967 0.10642
13450   0.03753 0.05443 0.07972 0.10646
13500   0.03753 0.05444 0.07977 0.1065
13550   0.03753 0.05445 0.07982 0.10654
13600   0.03753 0.05446 0.07987 0.10658
13650   0.03753 0.05447 0.07992 0.10662
13700   0.03753 0.05448 0.07997 0.10666
13750   0.03753 0.05449 0.08002 0.10671
13800   0.03754 0.0545  0.08007 0.10675
13850   0.03754 0.05451 0.08012 0.10679
13900   0.03754 0.05451 0.08017 0.10683
13950   0.03754 0.05452 0.08022 0.10687
14000   0.03754 0.05453 0.08027 0.10691
14050   0.03754 0.05454 0.08032 0.10695
14100   0.03754 0.05455 0.08037 0.10699
14150   0.03754 0.05456 0.08043 0.10703
14200   0.03754 0.05457 0.08048 0.10708
14250   0.03755 0.05458 0.08053 0.10712
14300   0.03755 0.05459 0.08058 0.10716
14350   0.03755 0.0546  0.08063 0.1072
14400   0.03755 0.05461 0.08068 0.10724
14450   0.03755 0.05462 0.08072 0.10728
14500   0.03755 0.05463 0.08077 0.10732
14550   0.03755 0.05464 0.08082 0.10736
14600   0.03755 0.05464 0.08087 0.10741
14650   0.03755 0.05465 0.08092 0.10745
14700   0.03756 0.05466 0.08097 0.10749
14750   0.03756 0.05467 0.08102 0.10753
14800   0.03756 0.05468 0.08107 0.10757
14850   0.03756 0.05469 0.08112 0.10761
14900   0.03756 0.0547  0.08117 0.10765
14950   0.03756 0.05471 0.08122 0.1077
15000   0.03756 0.05472 0.08127 0.10774
15050   0.03756 0.05473 0.08132 0.10778
15100   0.03756 0.05474 0.08137 0.10782
15150   0.03757 0.05475 0.08142 0.10786
15200   0.03757 0.05476 0.08147 0.1079
15250   0.03757 0.05476 0.08151 0.10794
15300   0.03757 0.05477 0.08156 0.10799
15350   0.03757 0.05478 0.08161 0.10803
15400   0.03757 0.05479 0.08166 0.10807
15450   0.03757 0.0548  0.08171 0.10811
15500   0.03757 0.05481 0.08176 0.10815
15550   0.03758 0.05482 0.08181 0.10819
15600   0.03758 0.05483 0.08186 0.10824
15650   0.03758 0.05484 0.0819  0.10828
15700   0.03758 0.05485 0.08195 0.10832
15750   0.03758 0.05486 0.082   0.10836
15800   0.03758 0.05487 0.08205 0.1084
15850   0.03758 0.05487 0.0821  0.10844
15900   0.03758 0.05488 0.08215 0.10849
15950   0.03759 0.05489 0.08219 0.10853
16000   0.03759 0.0549  0.08224 0.10857
16050   0.03759 0.05491 0.08229 0.10861
16100   0.03759 0.05492 0.08234 0.10865
16150   0.03759 0.05493 0.08239 0.10869
16200   0.03759 0.05494 0.08243 0.10874
16250   0.03759 0.05495 0.08248 0.10878
16300   0.03759 0.05496 0.08253 0.10882
16350   0.03759 0.05497 0.08258 0.10886
16400   0.0376  0.05497 0.08262 0.1089
16450   0.0376  0.05498 0.08267 0.10894
16500   0.0376  0.05499 0.08272 0.10899
16550   0.0376  0.055   0.08277 0.10903
16600   0.0376  0.05501 0.08281 0.10907
16650   0.0376  0.05502 0.08286 0.10911
16700   0.0376  0.05503 0.08291 0.10915
16750   0.0376  0.05504 0.08296 0.1092
16800   0.03761 0.05505 0.083   0.10924
16850   0.03761 0.05506 0.08305 0.10928
16900   0.03761 0.05506 0.0831  0.10932
16950   0.03761 0.05507 0.08314 0.10936
17000   0.03761 0.05508 0.08319 0.10941
17050   0.03761 0.05509 0.08324 0.10945
17100   0.03761 0.0551  0.08328 0.10949
17150   0.03761 0.05511 0.08333 0.10953
17200   0.03762 0.05512 0.08338 0.10957
17250   0.03762 0.05513 0.08342 0.10962
17300   0.03762 0.05514 0.08347 0.10966
17350   0.03762 0.05515 0.08352 0.1097
17400   0.03762 0.05515 0.08356 0.10974
17450   0.03762 0.05516 0.08361 0.10978
17500   0.03762 0.05517 0.08366 0.10983
17550   0.03762 0.05518 0.0837  0.10987
17600   0.03763 0.05519 0.08375 0.10991
17650   0.03763 0.0552  0.08379 0.10995
17700   0.03763 0.05521 0.08384 0.10999
17750   0.03763 0.05522 0.08389 0.11004
17800   0.03763 0.05523 0.08393 0.11008
17850   0.03763 0.05524 0.08398 0.11012
17900   0.03763 0.05524 0.08402 0.11016
17950   0.03764 0.05525 0.08407 0.11021
18000   0.03764 0.05526 0.08412 0.11025
18050   0.03764 0.05527 0.08416 0.11029
18100   0.03764 0.05528 0.08421 0.11033
18150   0.03764 0.05529 0.08425 0.11037
18200   0.03764 0.0553  0.0843  0.11042
18250   0.03764 0.05531 0.08434 0.11046
18300   0.03764 0.05531 0.08439 0.1105
18350   0.03765 0.05532 0.08443 0.11054
18400   0.03765 0.05533 0.08448 0.11059
