                   200K         300K      400K          500K                
0                0.0334	0.01388	0.03513	-0.07253
-0.792	-5.18189	-4.34999	-4.43969	-4.90106
-0.796	-5.21538	-4.39528	-4.41607	-4.99075
-0.8   	-5.30712	-4.42542	-4.52468	-5.06475
-0.804	-5.39681	-4.46438	-4.54802	-5.13047
-0.808	-5.61978	-4.50309	-4.64439	-5.33055
-0.812	-5.79655	-4.7275	-4.73952	-5.52517
-0.816	-5.96494	-4.73236	-4.90005	-5.73235
-0.82 	-6.03201	-4.77475	-4.97935	-5.9602
-0.824	-6.19373	-4.89789	-5.08056	-6.23403
-0.828	-6.34851	-5.00062	-5.20657	-6.40718
-0.832	-6.40281	-5.11303	-5.15756	-6.44524
-0.836	-6.44453	-5.33122	-5.21397	-6.6105
-0.84	        -6.39198	-5.4139	-5.26896	-6.59184
-0.844	-6.31417	-5.57639	-5.45826	-6.72167
-0.848	-6.37664	-5.8223	-5.53414	-6.83308
-0.852	-6.23601	-6.09283	-5.61949	-6.73726
-0.856	-6.31013	-6.49797	-5.57653	-6.52232
-0.86 	-6.628	-6.85379	-5.65925	-6.49039
-0.864	-7.0239	-7.13156	-5.71533	-6.63984
-0.868	-7.46935	-7.38785	-5.75125	-6.9495
-0.872	-8.03489	-7.88426	-5.9519	-7.05057
-0.876	-8.66661	-8.44009	-6.31643	-7.34129
-0.88 	-9.35406	-9.12552	-6.88784	-7.54091
-0.884	-10.1337	-9.68442	-7.31642	-7.66402
-0.888	-10.9375	-10.1922	-7.78085	-7.48773
-0.892	-11.8934	-10.786	-8.47026	-7.27394
-0.896	-13.249	-11.5349	-9.33694	-6.96368
-0.9   	-14.927	-12.4624	-10.4665	-6.95981
-0.904	-16.7802	-13.49	-11.9366	-7.19606
-0.908	-18.3549	-14.9949	-13.7339	-7.46304
-0.912	-19.7175	-16.8473	-15.8603	-7.78594
-0.916	-21.5488	-19.7704	-18.3211	-8.32005
-0.92	        -24.7451	-23.9915	-21.76	-9.10745
-0.924	-29.7372	-30.5281	-26.8702	-10.1928
-0.928	-35.9948	-37.7845	-33.4153	-12.0328
-0.932	-41.1524	-41.8873	-39.6762	-14.6276
-0.936	-43.3288	-42.7294	-43.4068	-17.2668
-0.94 	-44.7181	-43.4332	-46.1085	-20.5197
-0.944	-49.7701	-48.5273	-49.9386	-27.4338
-0.948	-61.4967	-60.9124	-59.4178	-39.8202
-0.952	-76.0752	-78.3846	-76.9692	-54.9271
-0.956	-85.7126	-91.3979	-86.093	-68.2399
