	         200K	 300K	 400K	500K
-0.864	-11.6691	-6.12557	-10.1333	-5.7835
-0.868	-12.3011	-6.46111	-10.6586	-5.97247
-0.872	-13.1798	-6.8826	-11.4524	-6.19432
-0.876	-13.9049	-7.3749	-12.2325	-6.53181
-0.88 	-14.4809	-7.94791	-12.5967	-6.83747
-0.884	-14.9386	-8.78188	-12.1333	-7.29874
-0.888	-14.8607	-9.65214	-10.9004	-7.8386
-0.892	-15.6928	-10.6385	-10.7916	-8.31444
-0.896	-16.6824	-11.5388	-11.2974	-8.9228
-0.9   	-17.986	-12.6563	-12.0593	-9.62902
-0.904	-19.3529	-14.1153	-12.9204	-10.646
-0.908	-20.9156	-15.6816	-14.0593	-11.8503
-0.912	-22.7607	-17.3359	-15.2597	-12.9312
-0.916	-25.145	-19.9186	-17.0044	-14.5625
-0.92 	-29.8402	-24.2349	-19.9017	-17.1175
-0.924	-37.077	-31.0582	-23.9584	-20.5335
-0.928	-45.8032	-39.6411	-28.0236	-24.7877
-0.932	-53.1133	-48.4261	-31.1566	-28.7664
-0.936	-56.2482	-54.545	-31.5562	-30.8616
-0.94 	-57.7305	-58.0515	-33.0845	-31.2064
-0.944	-61.457	-62.2498	-39.1212	-34.6959
-0.948	-73.213	-75.1467	-53.4489	-44.2747
-0.952	-95.6212	-106.753	-72.4965	-55.3418
-0.956	-107.316	-116.909	-85.7092	-65.9026
