   fs      Gr    Gr-SV   Gr-DV   Gr-SW
 21050   0.1366  0.1357 0.12771  0.1663
 21100  0.13666 0.13567  0.1277 0.16651
 21150  0.13671 0.13564  0.1277 0.16671
 21200  0.13677 0.13561  0.1277 0.16691
 21250  0.13682 0.13558 0.12769 0.16712
 21300  0.13688 0.13554 0.12769 0.16732
 21350  0.13693 0.13551 0.12769 0.16752
 21400  0.13699 0.13548 0.12769 0.16773
 21450  0.13704 0.13545 0.12768 0.16793
 21500  0.13709 0.13542 0.12768 0.16814
 21550  0.13715 0.13539 0.12768 0.16834
 21600   0.1372 0.13536 0.12767 0.16854
 21650  0.13726 0.13534 0.12767 0.16875
 21700  0.13731 0.13531 0.12766 0.16895
 21750  0.13737 0.13528 0.12766 0.16915
 21800  0.13742 0.13525 0.12766 0.16936
 21850  0.13747 0.13522 0.12765 0.16956
 21900  0.13753 0.13519 0.12765 0.16976
 21950  0.13758 0.13516 0.12765 0.16997
 22000  0.13763 0.13513 0.12764 0.17017
 22050  0.13769  0.1351 0.12764 0.17037
 22100  0.13774 0.13507 0.12764 0.17058
 22150  0.13779 0.13505 0.12763 0.17078
 22200  0.13785 0.13502 0.12763 0.17098
 22250   0.1379 0.13499 0.12763 0.17119
 22300  0.13795 0.13496 0.12762 0.17139
 22350  0.13801 0.13493 0.12762 0.17159
 22400  0.13806  0.1349 0.12761  0.1718
 22450  0.13811 0.13488 0.12761  0.172
 22500  0.13816 0.13485 0.12761  0.1722
 22550  0.13822 0.13482  0.1276  0.1724
 22600  0.13827 0.13479  0.1276 0.17261
 22650  0.13832 0.13477  0.1276 0.17281
 22700  0.13837 0.13474 0.12759 0.17301
 22750  0.13843 0.13471 0.12759 0.17322
 22800  0.13848 0.13468 0.12758 0.17342
 22850  0.13853 0.13466 0.12758 0.17362
 22900  0.13858 0.13463 0.12758 0.17383
 22950  0.13863  0.1346 0.12757 0.17403
 23000  0.13869 0.13458 0.12757 0.17423
 23050  0.13874 0.13455 0.12756 0.17443
 23100  0.13879 0.13452 0.12756 0.17464
 23150  0.13884  0.1345 0.12756 0.17484
 23200  0.13889 0.13447 0.12755 0.17504
 23250  0.13894 0.13445 0.12755 0.17525
 23300   0.139  0.13442 0.12754 0.17545
 23350  0.13905 0.13439 0.12754 0.17565
 23400   0.1391 0.13437 0.12754 0.17585
 23450  0.13915 0.13434 0.12753 0.17606
 23500   0.1392 0.13432 0.12753 0.17626
