   fs     GO-O  GO-O-SV GO-O-DV GO-O-SW
  8900  0.09237 0.08484  0.091  0.10892
  8950  0.09239 0.08486 0.09106 0.10897
  9000  0.09241 0.08488 0.09111 0.10902
  9050  0.09244  0.0849 0.09117 0.10906
  9100  0.09246 0.08492 0.09122 0.10911
  9150  0.09249 0.08494 0.09128 0.10916
  9200  0.09251 0.08497 0.09133  0.1092
  9250  0.09253 0.08499 0.09139 0.10925
  9300  0.09256 0.08501 0.09144  0.1093
  9350  0.09258 0.08503 0.09149 0.10934
  9400  0.09261 0.08505 0.09155 0.10939
  9450  0.09263 0.08507  0.0916 0.10944
  9500  0.09265 0.08509 0.09166 0.10948
  9550  0.09268 0.08511 0.09171 0.10953
  9600   0.0927 0.08513 0.09177 0.10958
  9650  0.09272 0.08515 0.09182 0.10962
  9700  0.09275 0.08517 0.09187 0.10967
  9750  0.09277 0.08519 0.09193 0.10972
  9800   0.0928 0.08521 0.09198 0.10976
  9850  0.09282 0.08524 0.09203 0.10981
  9900  0.09284 0.08526 0.09209 0.10986
  9950  0.09287 0.08528 0.09214  0.1099
 10000  0.09289  0.0853 0.09219 0.10995
 10050  0.09292 0.08532 0.09225   0.11
 10100  0.09294 0.08534  0.0923 0.11004
 10150  0.09296 0.08536 0.09235 0.11009
 10200  0.09299 0.08538 0.09241 0.11014
 10250  0.09301  0.0854 0.09246 0.11018
 10300  0.09304 0.08542 0.09251 0.11023
 10350  0.09306 0.08545 0.09257 0.11027
 10400  0.09308 0.08547 0.09262 0.11032
 10450  0.09311 0.08549 0.09267 0.11037
 10500  0.09313 0.08551 0.09273 0.11041
 10550  0.09316 0.08553 0.09278 0.11046
 10600  0.09318 0.08555 0.09283 0.11051
 10650   0.0932 0.08557 0.09288 0.11055
 10700  0.09323 0.08559 0.09294  0.1106
 10750  0.09325 0.08561 0.09299 0.11064
 10800  0.09328 0.08564 0.09304 0.11069
 10850   0.0933 0.08566  0.0931 0.11074
 10900  0.09332 0.08568 0.09315 0.11078
 10950  0.09335  0.0857  0.0932 0.11083
 11000  0.09337 0.08572 0.09325 0.11087
 11050  0.09339 0.08574  0.0933 0.11092
 11100  0.09342 0.08576 0.09336 0.11097
 11150  0.09344 0.08578 0.09341 0.11101
 11200  0.09347 0.08581 0.09346 0.11106
 11250  0.09349 0.08583 0.09351  0.1111
 11300  0.09351 0.08585 0.09357 0.11115
 11350  0.09354 0.08587 0.09362 0.11119
 11400  0.09356 0.08589 0.09367 0.11124
 11450  0.09359 0.08591 0.09372 0.11129
 11500  0.09361 0.08594 0.09377 0.11133
 11550  0.09363 0.08596 0.09382 0.11138
 11600  0.09366 0.08598 0.09388 0.11142
 11650  0.09368  0.086  0.09393 0.11147
 11700  0.09371 0.08602 0.09398 0.11151
 11750  0.09373 0.08604 0.09403 0.11156
 11800  0.09375 0.08606 0.09408  0.1116
 11850  0.09378 0.08609 0.09413 0.11165
 11900   0.0938 0.08611 0.09418  0.1117
 11950  0.09382 0.08613 0.09424 0.11174
 12000  0.09385 0.08615 0.09429 0.11179
 12050  0.09387 0.08617 0.09434 0.11183
 12100   0.0939 0.08619 0.09439 0.11188
 12150  0.09392 0.08622 0.09444 0.11192
 12200  0.09394 0.08624 0.09449 0.11197
 12250  0.09397 0.08626 0.09454 0.11201
 12300  0.09399 0.08628 0.09459 0.11206
 12350  0.09402  0.0863 0.09464  0.1121
 12400  0.09404 0.08633 0.09469 0.11215
 12450  0.09406 0.08635 0.09475 0.11219
 12500  0.09409 0.08637  0.0948 0.11224
 12550  0.09411 0.08639 0.09485 0.11228
 12600  0.09414 0.08641  0.0949 0.11233
 12650  0.09416 0.08643 0.09495 0.11238
 12700  0.09418 0.08646  0.095  0.11242
 12750  0.09421 0.08648 0.09505 0.11247
 12800  0.09423  0.0865  0.0951 0.11251
 12850  0.09425 0.08652 0.09515 0.11256
 12900  0.09428 0.08654  0.0952  0.1126
 12950   0.0943 0.08657 0.09525 0.11265
 13000  0.09433 0.08659  0.0953 0.11269
 13050  0.09435 0.08661 0.09535 0.11273
 13100  0.09437 0.08663  0.0954 0.11278
 13150   0.0944 0.08665 0.09545 0.11282
 13200  0.09442 0.08668  0.0955 0.11287
 13250  0.09445  0.0867 0.09555 0.11291
 13300  0.09447 0.08672  0.0956 0.11296
 13350  0.09449 0.08674 0.09565  0.113
 13400  0.09452 0.08677  0.0957 0.11305
 13450  0.09454 0.08679 0.09575 0.11309
 13500  0.09456 0.08681  0.0958 0.11314
 13550  0.09459 0.08683 0.09585 0.11318
 13600  0.09461 0.08685  0.0959 0.11323
 13650  0.09464 0.08688 0.09595 0.11327
 13700  0.09466  0.0869 0.09599 0.11332
 13750  0.09468 0.08692 0.09604 0.11336
 13800  0.09471 0.08694 0.09609 0.11341
 13850  0.09473 0.08697 0.09614 0.11345
 13900  0.09476 0.08699 0.09619 0.11349
 13950  0.09478 0.08701 0.09624 0.11354
 14000   0.0948 0.08703 0.09629 0.11358
 14050  0.09483 0.08706 0.09634 0.11363
 14100  0.09485 0.08708 0.09639 0.11367
 14150  0.09487  0.0871 0.09644 0.11372
 14200   0.0949 0.08712 0.09648 0.11376
 14250  0.09492 0.08715 0.09653  0.1138
 14300  0.09495 0.08717 0.09658 0.11385
 14350  0.09497 0.08719 0.09663 0.11389
 14400  0.09499 0.08721 0.09668 0.11394
 14450  0.09502 0.08724 0.09673 0.11398
 14500  0.09504 0.08726 0.09678 0.11403
 14550  0.09507 0.08728 0.09682 0.11407
 14600  0.09509  0.0873 0.09687 0.11411
 14650  0.09511 0.08733 0.09692 0.11416
 14700  0.09514 0.08735 0.09697  0.1142
 14750  0.09516 0.08737 0.09702 0.11425
 14800  0.09518 0.08739 0.09706 0.11429
 14850  0.09521 0.08742 0.09711 0.11433
 14900  0.09523 0.08744 0.09716 0.11438
 14950  0.09526 0.08746 0.09721 0.11442
 15000  0.09528 0.08749 0.09726 0.11447
 15050   0.0953 0.08751  0.0973 0.11451
 15100  0.09533 0.08753 0.09735 0.11455
 15150  0.09535 0.08755  0.0974  0.1146
 15200  0.09537 0.08758 0.09745 0.11464
 15250   0.0954  0.0876 0.09749 0.11469
 15300  0.09542 0.08762 0.09754 0.11473
 15350  0.09545 0.08765 0.09759 0.11477
 15400  0.09547 0.08767 0.09764 0.11482
 15450  0.09549 0.08769 0.09768 0.11486
 15500  0.09552 0.08771 0.09773  0.1149
 15550  0.09554 0.08774 0.09778 0.11495
 15600  0.09556 0.08776 0.09782 0.11499
 15650  0.09559 0.08778 0.09787 0.11503
 15700  0.09561 0.08781 0.09792 0.11508
 15750  0.09564 0.08783 0.09797 0.11512
 15800  0.09566 0.08785 0.09801 0.11516
 15850  0.09568 0.08788 0.09806 0.11521
 15900  0.09571  0.0879 0.09811 0.11525
 15950  0.09573 0.08792 0.09815  0.1153
 16000  0.09576 0.08795  0.0982 0.11534
 16050  0.09578 0.08797 0.09825 0.11538
 16100   0.0958 0.08799 0.09829 0.11543
 16150  0.09583 0.08801 0.09834 0.11547
 16200  0.09585 0.08804 0.09839 0.11551
 16250  0.09587 0.08806 0.09843 0.11556
 16300   0.0959 0.08808 0.09848  0.1156
 16350  0.09592 0.08811 0.09852 0.11564
 16400  0.09595 0.08813 0.09857 0.11568
 16450  0.09597 0.08815 0.09862 0.11573
 16500  0.09599 0.08818 0.09866 0.11577
 16550  0.09602  0.0882 0.09871 0.11581
 16600  0.09604 0.08822 0.09876 0.11586
 16650  0.09606 0.08825  0.0988  0.1159
 16700  0.09609 0.08827 0.09885 0.11594
 16750  0.09611 0.08829 0.09889 0.11599
 16800  0.09614 0.08832 0.09894 0.11603
 16850  0.09616 0.08834 0.09898 0.11607
 16900  0.09618 0.08837 0.09903 0.11612
 16950  0.09621 0.08839 0.09908 0.11616
 17000  0.09623 0.08841 0.09912  0.1162
 17050  0.09625 0.08844 0.09917 0.11624
 17100  0.09628 0.08846 0.09921 0.11629
 17150   0.0963 0.08848 0.09926 0.11633
 17200  0.09633 0.08851  0.0993 0.11637
 17250  0.09635 0.08853 0.09935 0.11642
 17300  0.09637 0.08855 0.09939 0.11646
 17350   0.0964 0.08858 0.09944  0.1165
