   fs    GO-OH  GO-OH-SV GO-OH-DV GO-OH-SW
 12500  0.06549 0.07445  0.0757 0.06053
 12550  0.06552 0.07454 0.07572 0.06057
 12600  0.06555 0.07464 0.07574  0.0606
 12650  0.06559 0.07473 0.07575 0.06064
 12700  0.06562 0.07482 0.07577 0.06068
 12750  0.06565 0.07492 0.07579 0.06071
 12800  0.06568 0.07501 0.07581 0.06075
 12850  0.06571 0.07511 0.07582 0.06079
 12900  0.06575  0.0752 0.07584 0.06082
 12950  0.06578  0.0753 0.07586 0.06086
 13000  0.06581 0.07539 0.07588  0.0609
 13050  0.06584 0.07548 0.07589 0.06093
 13100  0.06587 0.07558 0.07591 0.06097
 13150  0.06591 0.07567 0.07593  0.061
 13200  0.06594 0.07576 0.07594 0.06104
 13250  0.06597 0.07586 0.07596 0.06108
 13300   0.066  0.07595 0.07598 0.06111
 13350  0.06603 0.07604  0.076  0.06115
 13400  0.06606 0.07614 0.07601 0.06119
 13450   0.0661 0.07623 0.07603 0.06122
 13500  0.06613 0.07632 0.07605 0.06126
 13550  0.06616 0.07641 0.07607 0.06129
 13600  0.06619 0.07651 0.07608 0.06133
 13650  0.06622  0.0766  0.0761 0.06137
 13700  0.06625 0.07669 0.07612  0.0614
 13750  0.06629 0.07678 0.07614 0.06144
 13800  0.06632 0.07687 0.07615 0.06147
 13850  0.06635 0.07697 0.07617 0.06151
 13900  0.06638 0.07706 0.07619 0.06155
 13950  0.06641 0.07715 0.07621 0.06158
 14000  0.06644 0.07724 0.07622 0.06162
 14050  0.06647 0.07733 0.07624 0.06165
 14100   0.0665 0.07743 0.07626 0.06169
 14150  0.06653 0.07752 0.07628 0.06173
 14200  0.06657 0.07761 0.07629 0.06176
 14250   0.0666  0.0777 0.07631  0.0618
 14300  0.06663 0.07779 0.07633 0.06183
 14350  0.06666 0.07788 0.07635 0.06187
 14400  0.06669 0.07797 0.07636  0.0619
 14450  0.06672 0.07806 0.07638 0.06194
 14500  0.06675 0.07815  0.0764 0.06198
 14550  0.06678 0.07824 0.07642 0.06201
 14600  0.06681 0.07833 0.07643 0.06205
 14650  0.06684 0.07842 0.07645 0.06208
 14700  0.06687 0.07851 0.07647 0.06212
 14750   0.0669  0.0786 0.07649 0.06215
 14800  0.06693 0.07869  0.0765 0.06219
 14850  0.06696 0.07878 0.07652 0.06222
 14900  0.06699 0.07887 0.07654 0.06226
 14950  0.06702 0.07896 0.07656  0.0623
 15000  0.06706 0.07905 0.07657 0.06233
 15050  0.06709 0.07914 0.07659 0.06237
 15100  0.06712 0.07923 0.07661  0.0624
 15150  0.06715 0.07932 0.07663 0.06244
 15200  0.06718 0.07941 0.07664 0.06247
 15250  0.06721  0.0795 0.07666 0.06251
 15300  0.06724 0.07959 0.07668 0.06254
 15350  0.06727 0.07968  0.0767 0.06258
 15400   0.0673 0.07977 0.07672 0.06261
 15450  0.06733 0.07985 0.07673 0.06265
 15500  0.06736 0.07994 0.07675 0.06268
 15550  0.06739 0.08003 0.07677 0.06272
 15600  0.06742 0.08012 0.07679 0.06275
 15650  0.06745 0.08021  0.0768 0.06279
 15700  0.06747  0.0803 0.07682 0.06282
 15750   0.0675 0.08038 0.07684 0.06286
 15800  0.06753 0.08047 0.07686 0.06289
 15850  0.06756 0.08056 0.07687 0.06293
 15900  0.06759 0.08065 0.07689 0.06296
 15950  0.06762 0.08074 0.07691  0.063
 16000  0.06765 0.08082 0.07693 0.06303
 16050  0.06768 0.08091 0.07694 0.06307
 16100  0.06771  0.081  0.07696  0.0631
 16150  0.06774 0.08108 0.07698 0.06314
 16200  0.06777 0.08117  0.077  0.06317
 16250   0.0678 0.08126 0.07702 0.06321
 16300  0.06783 0.08135 0.07703 0.06324
 16350  0.06786 0.08143 0.07705 0.06327
 16400  0.06789 0.08152 0.07707 0.06331
 16450  0.06791 0.08161 0.07709 0.06334
 16500  0.06794 0.08169  0.0771 0.06338
 16550  0.06797 0.08178 0.07712 0.06341
 16600   0.068  0.08186 0.07714 0.06345
 16650  0.06803 0.08195 0.07716 0.06348
 16700  0.06806 0.08204 0.07718 0.06352
 16750  0.06809 0.08212 0.07719 0.06355
 16800  0.06812 0.08221 0.07721 0.06358
 16850  0.06815 0.08229 0.07723 0.06362
 16900  0.06817 0.08238 0.07725 0.06365
 16950   0.0682 0.08246 0.07726 0.06369
 17000  0.06823 0.08255 0.07728 0.06372
 17050  0.06826 0.08264  0.0773 0.06376
 17100  0.06829 0.08272 0.07732 0.06379
 17150  0.06832 0.08281 0.07733 0.06382
 17200  0.06835 0.08289 0.07735 0.06386
 17250  0.06837 0.08298 0.07737 0.06389
 17300   0.0684 0.08306 0.07739 0.06393
