   fs      Gr     GO-O   GO-OH  GO-COOH
  9850  0.12218 0.09282 0.06371 0.05374
  9900  0.12225 0.09284 0.06374 0.05375
  9950  0.12232 0.09287 0.06378 0.05376
 10000   0.1224 0.09289 0.06381 0.05377
 10050  0.12247 0.09292 0.06385 0.05378
 10100  0.12254 0.09294 0.06388 0.05379
 10150  0.12262 0.09296 0.06392  0.0538
 10200  0.12269 0.09299 0.06395 0.05381
 10250  0.12276 0.09301 0.06399 0.05382
 10300  0.12284 0.09304 0.06402 0.05383
 10350  0.12291 0.09306 0.06405 0.05384
 10400  0.12298 0.09308 0.06409 0.05385
 10450  0.12306 0.09311 0.06412 0.05386
 10500  0.12313 0.09313 0.06416 0.05387
 10550   0.1232 0.09316 0.06419 0.05388
 10600  0.12327 0.09318 0.06422 0.05389
 10650  0.12335  0.0932 0.06426  0.0539
 10700  0.12342 0.09323 0.06429 0.05391
 10750  0.12349 0.09325 0.06433 0.05392
 10800  0.12356 0.09328 0.06436 0.05393
 10850  0.12364  0.0933 0.06439 0.05394
 10900  0.12371 0.09332 0.06443 0.05394
 10950  0.12378 0.09335 0.06446 0.05395
 11000  0.12385 0.09337  0.0645 0.05396
 11050  0.12392 0.09339 0.06453 0.05397
 11100  0.12399 0.09342 0.06456 0.05398
 11150  0.12407 0.09344  0.0646 0.05399
 11200  0.12414 0.09347 0.06463  0.054
 11250  0.12421 0.09349 0.06466 0.05401
 11300  0.12428 0.09351  0.0647 0.05402
 11350  0.12435 0.09354 0.06473 0.05403
 11400  0.12442 0.09356 0.06476 0.05404
 11450  0.12449 0.09359  0.0648 0.05405
 11500  0.12457 0.09361 0.06483 0.05406
 11550  0.12464 0.09363 0.06486 0.05407
 11600  0.12471 0.09366  0.0649 0.05408
 11650  0.12478 0.09368 0.06493 0.05409
 11700  0.12485 0.09371 0.06496  0.0541
 11750  0.12492 0.09373  0.065  0.05411
 11800  0.12499 0.09375 0.06503 0.05412
 11850  0.12506 0.09378 0.06506 0.05413
 11900  0.12513  0.0938  0.0651 0.05414
 11950   0.1252 0.09382 0.06513 0.05415
 12000  0.12527 0.09385 0.06516 0.05416
 12050  0.12534 0.09387 0.06519 0.05417
 12100  0.12541  0.0939 0.06523 0.05418
 12150  0.12548 0.09392 0.06526 0.05418
 12200  0.12555 0.09394 0.06529 0.05419
 12250  0.12562 0.09397 0.06533  0.0542
 12300  0.12569 0.09399 0.06536 0.05421
 12350  0.12576 0.09402 0.06539 0.05422
 12400  0.12583 0.09404 0.06542 0.05423
 12450   0.1259 0.09406 0.06546 0.05424
 12500  0.12597 0.09409 0.06549 0.05425
 12550  0.12604 0.09411 0.06552 0.05426
 12600  0.12611 0.09414 0.06555 0.05427
 12650  0.12618 0.09416 0.06559 0.05428
 12700  0.12625 0.09418 0.06562 0.05429
 12750  0.12631 0.09421 0.06565  0.0543
 12800  0.12638 0.09423 0.06568 0.05431
 12850  0.12645 0.09425 0.06571 0.05432
